original_text,augmented_text,intermediate_english
牛马打工人OOTD,""" 公牛和公牛 "" 组织",OOTD for Bulls and Bulls.
周而复始 沈阳小北边门,沈阳北侧门,The north side door of Shenyang.
到瓷一游 景德镇,敬中国 灰地,"To china, Cinderland."
早上遛狗苏河湾1小时。 中午跑望园路10公里，配速456。,"上午一小时在苏湾走狗,中午10公里到花园路,速度456公里。","One hour to walk the dog in Su Bay in the morning, 10 km to the garden road at noon, with a speed of 456."
深圳速度,深圳速度,Shenzhen Speed
sa姐监督一下,"看着它,妹妹。","Watch over it, sister."
这两天 深圳,"这两天,深圳","These two days, Shenzhen."
真小鸟伏特加 雷霆嘎巴,这是一个小鸟伏特加。,That's a little birdie vodka.
狂风大作的一个早上，包裹严实出门。,"一个暴风雨的早晨, 包起来和出房子。","A stormy morning, wrapped up and out of the house."
以前以为好吃的炸蘑菇是稀有产品 后来发现遍地都是好吃的炸蘑菇,"我曾经认为好的蘑菇是罕见的, 然后我发现它们无处不在。","I used to think good mushrooms were rare, and then I found them everywhere."
倒计时14，希望身体给力,"倒数14,希望你坚强",Count to 14. Hope you're strong.
被橙子怼的哑口无言，居然被一个小孩打败了。,"哑巴被橘子刺死,被一个孩子打败。","The mute, who was stung by oranges, was defeated by a child."
Dinner time,晚饭时间,Dinner time
。。。。,我不知道。 。 。,I don't know.
苏州4 图片,苏州4,Suzhou 4
在学校边集市逛了一圈，还没下班呢,我在学校集市上走来走去 我还没下班呢,I've been walking around the school fair. I haven't finished work yet.
北京清华大学,北京青华大学,"Qinghua University, Beijing"
今天参与了一些揍饭活动,今天我参加了一些精彩的活动,I've been involved in some kick-ass activities today.
哈哈染好了，除了发质变得更差，其他的没变化,哈哈哈哈哈哈哈哈哈哈哈哈哈哈。,Ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha-ha.
今天给宝宝读的是太阳系度假指南。,"今天,婴儿阅读了太阳系节日指南。","Today, the baby read the solar system holiday guide."
不多说哈,不要说太多。,Don't say much.
分享新鲜事,分享新的东西。,Share something new.
从昆明的全世界路过。。。,从昆明走过世界,Walking through the world from Kunming.
沉默就好,安静点,Just be quiet.
把心清空，清空，清空,清除你的心 清除你的心 清除你的心 清除你的心,"Clear your heart, clear your heart, clear your heart."
昨晚算睡的好的一晚 距离寒假还有100天,昨晚是睡的好觉 冬天放假后100天,Last night was a good night's sleep. 100 days from the winter break.
2025年1月进宝,2025年1月。,January 2025.
没想到还有啊,我不知道还有更多,I didn't know there was more.
有4号9点降落虹桥去纪希的吗凑个车,下午9点在彩虹桥 4号降落时你有车吗?,Do you have a car on the 4th landing at 9 p.m. at the Rainbow Bridge?
llf的短剧呢 什么时候端上来啊,你什么时候提起来?,When will you bring it up?
一些库存。,一些股票。,Some stock.
此女吃麻辣烫胃口一次比一次大,这个女孩的胃口比以前大,This girl has a bigger appetite than once.
路过此地 忻州忻州古城,我们正在穿过古城满洲,We're passing through the ancient city of Manchuria.
凌晨2点还在护理自己头发的小姐姐一枚噢,"凌晨两点,她在理发","At 2:00 a.m., she's taking care of her hair."
漫长的假期悲喜交加地开始了 顺带记录感冒但攀岩大成功,"漫长的节日开始时,人们感到非常悲伤,寒冷,摇滚成功。","The long holidays have begun with a great deal of sadness, with a cold recorded and a great rock climbing success."
嗯妈妈酱 说不上来什么味道,妈妈的酱汁闻起来不像,"Well, Mama's sauce doesn't smell like it."
剧荒了，有什么剧推荐的吗,"这是浪费时间,你有什么建议?",It's a waste of time. What do you recommend?
除了吃，还是吃 年 2025一张年饭都没拍,我2025年没有一顿饭吃,I don't have a single meal for 2025.
本次消费最多的店,这是这次最贵的店了,It's the most expensive shop this time.
瑞宝的双面人生,Rabel的双面生活,Rabel's double-faced life.
就挺搞笑的，备考的时候手机怎么玩，怎么香 不备考了，怎么玩怎么无聊,"有趣的是,你的手机如何播放, 它的气味,它是如何无聊。","It's funny how your phone plays, how it smells, how it's boring."
又是快速结束的一周，又要开启新的一周,"又是一个快速结束的一周,又是一个星期",It's another fast ending week. It's another week.
蔡澜说人生不过情情爱爱吃吃喝喝 无锡,"猜梁说,没有锡,生活就是爱爱,爱,吃,喝",Chai Liang said that life is nothing but love and love and eat and drink without tin
现在我在：,现在我在:,Now I'm at:
最近在研究：以自己的感受为主，是一种自私吗？,最近的研究:专注于你的感受是否自私?,Recent research: Is it selfish to focus on what you feel?
两张live图，最近一直在纠结要不要洗回月猫3,两张实况图表 我一直在想我是否应该把月球3号洗掉,Two live charts. I've been wondering if I should wash back Mooncat 3.
刚刚： 没有开始但有结束 在冬日寒风凛凛却和煦如春的没有吃午饭的午后,"还没开始,但已经结束了","It's not starting, but it's over."
taffy：爸你还是别回来了，放我出去,"爸爸,别回来,让我出去","Taffy: Dad, don't come back. Let me out of here."
近期假日碎片补档,近期节假日的分散化,Fragmentation of recent holidays
，。 南京梅钢工业文化旅游区,南京梅工业文化旅游区,Nanjing Mae Industries Cultural Tourism Area
此时此刻 北京,"现在,北京","Right now, Beijing."
我的幸运数字7 考试去了,我幸运的七号考上了考试,My lucky number 7 went to the exam.
分享新鲜事,分享新的东西。,Share something new.
早安，重庆 重庆重庆来福士,"早上好,重庆,重庆,重庆,福斯","Good morning, Chongqing. Chongqing, Chongqing, Foss."
日历翻到最后一页了 喝上了2024年的最后一杯咖啡 痘痘还没有消散，又起了一个，嘻,日历转到最后一页 喝了2024年最后一杯咖啡,"The calendar went to the last page, drank the last cup of coffee in 2024."
一位肉夹馍面案师傅,他是个屠夫,He's a butcher.
分享单曲 拥抱 (电视剧想见你插曲) (),"分享一首歌,拥抱","♪ Share a single song, embrace ♪"
囤粮一ge月早饭小熊喝优酸乳,食物储存在月亮早餐上 熊喝酸奶,Food hoarded for a moon's breakfast. Bears drink yogurt.
嗯嗯嗯？,嗯哼? Mm -hmm?,Mm-hmm?
梦里回到了一个以前梦到过的地方,梦想又回到我曾经梦想过的地方,The dream goes back to a place I've dreamed about before.
有一次 就会出现无数次 今日战绩,"一次,它会是一百万次。","One time, it's gonna be a million times."
生活碎片 日常vlog 下个月就要过年了，你看时间等过谁。,下个月 每天的活活碎片即将通过 你看看谁在等待时间,"Life fragments of daily vlogs are about to pass next month, and you look who's waiting for time."
查值班表就像刮彩票一样,检查手表就像彩票,Checking the watch is like a lottery ticket.
三月再见,三月见,See you in March.
重庆版东北包饭,重庆的东北面包,Chongqing's Northeast Breading
人类幼崽观察日记 今天虽然出太阳了 可是体感温度也没觉得暖和些 将开始三天小长假 暂时无言,人类小牛今天观察了日记 虽然太阳没晒到 但温度没有感觉更暖和 并且要休息三天,"The human calf observed the journal today, although it's out of the sun, the temperature doesn't feel any warmer, and it's going to be three days off."
小狗蛇点点发一发,一点点蛇的小狗。,A little bit of a snake for the little dog.
一天又要结束了,又结束了,It's over again.
李荣浩张惠妹对等关系 对等关系,李浩贤的同伴关系,Lee Young Ho-hyeon's peer relations.
古风拼贴 拼贴的都是心情，尺寸A4,"这都关乎情绪,A4大小","It's all about moods, size A4."
买个睫毛夹看好不好用,眼睫毛怎样了?,How's the eyelashes working?
好袖珍啊,好一个口袋。,What a pocket.
最近 唐山唐山万达广场写字楼,"最近,在唐山山山山旺达广场 有一座写作大楼","Lately, there's a writing building in Tang Shan Shan Shan Wanda Square."
最近的状态是时不时脑子里就想起一句老大的歌,最近的情况是一首歌不时想起。,The most recent state of affairs is a song that comes to mind from time to time.
你想要的,你想怎样?,What you want.
终于考完了两科。,我终于上完两个班了,I finally finished two classes.
下雨了，才抹平的水泥地。小旗子都扒在地上了 南京,"下雨了,是平坦的混凝土 地板上有小旗子,南京","It's raining, it's flattened concrete. Small flags are on the floor. Nanking."
不知不觉，1月已经过完了,"我不知道,一月结束了",I don't know. January's over.
华侨城溜达溜达 有小姐姐推销 华侨城3房仅需1千万,我们只要1000万美元 就能进城的3间房间,We need only $10 million for 3 rooms in the city.
邪恶摇粒绒,邪恶的天鹅绒,Evil velvet.
88w彩礼能娶到处男吗？没别的要求 每天做3顿饭给我吃，家里边卫生 家务 每天搞搞好就行,你可以嫁给一个男人 在这里88w?,Can you marry a guy around here at the 88w?
今日早餐,今天早饭,Breakfast today.
今日早餐：两个鸡蛋,今天早餐早餐:两个鸡蛋,Breakfast today: two eggs
真有落叶入窗,窗户上有个落叶,There's a falling leaf in the window.
没蹭上发的话剧福利票 但是来了一趟海淀 好多年没回来过了,我没有付演出的票 但我在这里已经好几年了,"I didn't pay the tickets to the show, but I've been here for years."
三月最后一吃 是土豆和西瓜新品,三月的最后顿饭是土豆和西瓜。,The last meal in March was a potato and a watermelon.
它们的身后是钢铁森林。,他们在钢铁林后面,They're behind the steel forest.
房子也是休,这房子也是休,The house is also Hugh.
这不会是佛像吧,这不是佛像吧?,"This isn't a Buddha statue, is it?"
这个地方还是顺利的。 前天打电话告知的程序，不是的。,"这个地方进展顺利, 前天的电话告诉节目,没有。","This place is going well, and the phone call the day before yesterday told the program, no."
这个emoji中文那么刮三。。。。这么一说我预约了今天,这个Demoji用中文拼得那么脏 所以我今天有个约会,This emoji is so scratched up in Chinese. So I have an appointment today.
看完中医，最后的倔强以后只喝热奶茶,中国医生来访后 只有在他固执的时候 才会喝热牛奶茶,"After the Chinese doctor's visit, he'll only drink hot milk tea when he's stubborn."
春天，十个海子全部复活,"春天,所有十名海员都会复活","In spring, all 10 seamen will be raised."
分享单曲 キミペディア (),共享单色 (),Share Monochrome ()
斗南花市 南瓜动物园,多南城南瓜动物园,"Doonam City, pumpkin zoo."
好像只有刚上大学那会儿爱出来喝酒 退化到摇骰子都要思考一下 也是重返十八岁了,就像我刚上大学的时候 我不得不想一想 我那时才18岁,"It's like when I first went to college, I had to think about it, and I was 18 years old."
水煮菜晚饭3分饱的威力,3美分的沸腾晚餐的力量,The power of 3 cents of boiling dinner.
太暖和了！这都已经不是这儿冬天的温度了！,太热了 这里不是冬天,It's too warm! It's not winter here!
乐极生悲又生乐,"它是如此悲伤,它是如此快乐。",It's so sad and it's so happy.
今年还剩两个月不到要解决的课题一大堆 一件一件来吧,今年不到两个月就有很多问题要解决,There's a whole bunch of topics to solve in less than two months this year.
看我发现了什么  同一个世界，同一个梦想！ 宜兴,看我在同一个世界找到了什么 同一个梦!,"Look what I found in the same world, the same dream!"
微不足道的绵薄之力，坚持一段时间了,好久不见,It's been a long time.
同事说，你都穿短袖了，这么热吗？ 啊？29的天气啊这是,我同事说你穿短袖,My colleague says you're wearing short sleeves.
起床就一杯,起床时喝一杯,One drink when you get up.
小狼 Luna_jy,沃尔夫·露月,Wolfie Luna_jy
对此我只有六点想说。。。。。。,我只有六点要说。,I have only six points to say.
永远都预料不到未来的走向,我永远看不到未来,I'll never see the future coming.
工作日已到账 惠州城发大厦,我们在这里工作的日子。,We're here on the day of work.
稳重哥(但眼神会阴阳你)的日常,日复一日,The day after the day.
来义务劳动了,这是一个工作。,It's a job.
我：你房子建这挡路了啊 结果：房子建了前后两个门，再把门打开，形成通路,"我:你的房子是建在路上的, 结果变成前前后两扇门, 然后打开了门,形成了一条出路。","I: Your house was built in the way, and it turned out to be two doors in front and back, then opened the door and formed a way out."
分享一下,分享它。,Share it.
大胖小子瘦时候,当大胖子瘦的时候,"When the big fat boy was skinny,"
侄女姐姐发出爱上zy是人之常情这种感慨 不知道算夸我还是算骂我,我不知道我的侄女是否觉得她爱上了Zy,I don't know if my niece feels like she's in love with zy.
牢记： 需要谁肯定，就是谁牛马。 不必事事完美，但求问心无愧,"记住:谁需要确定,谁就是那个人, 不需要完美,但这是对的。","Remember: whoever needs to be sure, it's who it is, and it doesn't have to be perfect, but it's right."
当你是一个待不住学校的人时,当你是一个不能留在学校里的男人,When you're a man who can't stay in school.
允许万物穿过 允许一切流走,任由一切传承 任由一切流传,"Allow everything to pass, allow everything to flow away."
第八天 太原郑村乾鑫佳园,"第八日,","On the eighth day,"
猫，落日，飞机。 250321 宝安 深圳 深圳宝安西湾红树林公园,"猫,日落,飞机, 250321深圳,深圳,深圳 深圳,深圳安西湾红树林公园。","Cat, sunset, plane, 250321 Shenzhen, Shenzhen, Shenzhen Anxi Bay Mangroves Park."
蜡笔小新（心）地滑,蜡笔很滑,The crayons are slippery.
怎么不算呢,这不算,It doesn't count.
南充西华师范大学华凤校区,"华峰大学,南中国大学。","University of Wu Feng, University of South China."
近期碎片,最近碎片,Recent debris
春游状态 出门的时候超兴奋，一堵车就蔫了。 北京,"春天旅行很刺激 当你出去的时候,你正遇到交通堵塞","Spring travel is so exciting when you're out, you're in a traffic jam."
嗯。 福州福建技术师范学院(五马山校区),"福建理工学院,福建","Fujian Technical College, Fujian."
每次画画的画风都不一样已开辟盲盒赛道,不是每幅画都有个盲盒,It's not like every painting has a blind box.
十年后看哈还有没有这么勇,"十年之后,你还有勇气吗?","Ten years later, do you still have the courage?"
"""不是 Hellokitty 是HelloBaby""","""不,霍洛基蒂,我是霍洛巴比""","""No, Holokitti, it's HoloBaby."""
晚饭后 出来遛弯,晚饭后出来散散步,"After dinner, come out for a walk."
约了79的复查。 转眼间又半年过去了。,"大约79次审查,6个月后。","About 79 reviews, six months later."
陶玖胜利先生的静静小姐 胜利先生的静静小姐 （）,陶建胜利先生的沉默 胜利胜利先生的沉默,"Miss Silence of Mr. Taojian Victory, Miss Silence of Mr. Victory."
三月夜桂花小繁花,三月的肉桂是一朵小花,♪ March's cinnamon is a small flower ♪
四川一年四季的衣服一天穿,四川每天都穿衣服,Sichuan wears her clothes every day.
去吃煲仔饭小图正好看见我和,"去吃点东西,我会看到你在一起。",Go eat some food and I'll see you together.
早上好啊，吃早餐了吗？ 厦门,"早上好,吃早餐了吗?",Good morning. Have you had breakfast?
砰砰砰砰砰,爆炸 爆炸 爆炸 爆炸 爆炸,"♪ Bang, bang, bang, bang ♪"
人生就是 急也没用日常碎片plog,生活只是... 匆匆忙忙忙忙 无助于日常的碎片,Life's just... rushing doesn't help with the daily fragments.
咋的导导 睡醒第一件事就是回你还不知足,什么 你醒来的第一件事就是不知道,What? The first thing you do wake up is you don't know.
6点醒了，玩了那么久手机才8点半,我六点醒过来 过了这么久才八点半,I woke up at 6:00. It's only 8:30 after all this time.
day 3307,第3307天,Day 3307
年度总结cos版,年度摘要共同版本,Annual summary cos version
距离上次练功又过了两星期,上次练习已经两周了,It's been two weeks since the last practice.
连俞涵 ig story,量子(量子),Quantico.
世界之大，无奇不有,这是个大世界 难怪,"It's a big world, no wonder."
福建 泉州 泉州,福建 泉州 泉州,"Fujian, Quanzhou, Quanzhou."
早晨睡醒收到俺妈发的消息 我爹估计还没意识到事情的严重性，我决定不提醒 顺其自然,我父亲不知道事情的严重性 我决定不提醒他,"My father didn't realize the gravity of the matter, and I decided not to remind him of it."
𝙯𝙞𝙗𝙤淄博  淄博,"西波,西波,西波",Xibo. Xibo.
如果 我是说如果 如果按照正常来说 明天应该是我最后一天工作日,"我的意思是,如果,作为一项规则,明天应该是我最后一天的工作。","I mean, if, as a rule, tomorrow should be my last day of work."
呱嗒呱嗒,晓星,Xiao Xing
两个人在干嘛,两个人在干什么?,What are two people doing?
这种我可以给他卖保健品吗？,我可以卖给他一些吗?,Can I sell him some of this?
翟潇闻 哥有人说你是白磷人格，你敢不敢回我,我听说你是白磷 你不敢回答我吗?,I've been told you're white phosphorus. Don't you dare answer me?
你木的最后一天早自习50开始睡到44分 直接一个下床直接出门啊,你上学的最后一天是从50点开始的 然后你就直接下床了,"Your last day at school started at 50 points, and you went straight out of bed."
补更草稿箱82 在盆友家全托的一天,我一整天都做82箱的草稿,I'll make up draft box 82 for the whole day.
不会感恩就不会快乐,"没有感激,你不可能幸福",You can't be happy without gratitude.
屁孩乱入,这孩子有麻烦了,The kid's in trouble.
吃完晚饭，大姑收拾饭桌，端着碗筷走向厨房。 奶奶：小心滑 大姑：姆妈，我60岁了，不得滑,"吃完晚饭后,阿姨收拾桌子 带着筷子去厨房","After dinner, Auntie cleans up the table and goes to the kitchen with chopsticks."
小时候可不爱吃黄瓜味的了 现在必买 假期还剩两天 有点无聊了,我小时候不喜欢黄瓜,I don't like cucumbers when I was a kid.
今日早餐鸡蛋煎饼搭配蘸料，纯牛奶 我崽吃了1大块鸡蛋煎饼，喝了半盒牛奶,今天的早餐煎蛋卷加糖浆和纯牛奶 我的孩子吃了个大煎蛋卷 喝了半箱牛奶,"Today's breakfast omelet with syrup and pure milk, my baby ate a big omelet and drank half a box of milk."
坐在琴房玩了一下午手机真的对不起,很抱歉我整个下午坐在钢琴房里 拿着手机玩,I'm so sorry I sat in the piano room all afternoon playing with my cell phone.
居家日 灯塔,"回家日,灯塔","Home Day, lighthouse."
日常 INTJ研0 江城武汉游记篇Ⅰ,"日复一日,INTJ研究0。","Day by day, INTJ study 0."
指的是流失率,是关于损失率的,It's about the rate of loss.
苍梧路59号的故事被继续续写,59 Sky Road的故事还在继续。,The story of 59 Sky Road continues.
又是饮茶食饭,又是茶来了,It's tea again.
其实我在偷偷入赘一个小男孩,"事实上,我正偷偷摸摸地接近一个小男孩","Actually, I'm sneaking into a little boy."
理解也认了爱情都有个期限 不再执着了,我知道爱情是有时间限制的 我不想再爱了,"I understand that love has a time limit, and I don't want it anymore."
不知不觉 来广州一年了,没想到我已经在广州呆一年了,I didn't realize I'd been in Guangzhou for a year.
这个深秋，因为大雨的缘故提前到来，大夜班接班点一杯咖啡，下班点一杯咖啡，是续命神器,"今年秋末,由于下雨,是命运之神。 夜班要一杯咖啡,白天要一杯咖啡。","This late autumn, due to the rain, is a god of fate. A cup of coffee for the night shift and a cup of coffee for the day off."
不是这个浅仓透,没那么浅,It's not that shallow.
好饿，每天早上上班都在想中午吃什么菜。,"我饿了,我一直在想 每天早上在工作时吃午饭","I'm so hungry, I've been thinking about lunch every morning at work."
运动打卡第101天 晨跑五公里完成,"体育卡,第101天,早上5公里","Sports card, 101st day. Five kilometers in the morning."
上次没送成,上次我没拿到,I didn't get it last time.
鸽王的含金量还在持续上升,鸽子国王的位子继续上升,The dove king's encumbrance continues to rise.
空腹黑咖慢跑打卡5,一张5点跑步卡 给一个空壳的黑人男子,A five-point jogging card for an empty-barrelled black man.
今天不用等我了（不是。,今天别等我了,Don't wait for me today.
吃或被吃 这是一个问题,"吃或被吃,这是个问题",Eat or be eaten. That's a problem.
山西大面条 社畜安眠药,山西面 动物的安眠药,"Shanxi noodles, sleeping pills for the animals."
屎意来袭,狗屎来了。,Shit's coming.
草莓酱酱,草莓酱,Strawberry sauce.
心诚则灵,心是真实的,The heart is true.
什么？蒙语翻译？蒙古语？,什么 蒙语翻译 蒙古语翻译,What? An interpreter in Mon? An interpreter in Mongolian?
佛系佛系佛系 武汉汉口文化体育中心,"佛和佛,武汉洪文化体育中心","Buddha's and Buddha's, Wuhanhun Cultural and Sports Center."
这个季节的柳絮和乌鸦，，然后热了的一天，晚风凉凉的，，，,"本季的柳木和乌鸦,然后是炎热的一天,晚夕的凉爽,","And the willows of this season and the crows, then a hot day, and the cooling of the evening,"
看房 华泰小区通往地铁的隧道,"看看房间,地铁隧道",Look at the room. The tunnel to the subway.
我还没有看爱你大结局,我还没有看到爱情的终结,I haven't seen the end of love yet.
儿子截图的妈妈,儿子母亲的截图,Mother of the son's screenshot.
关于我的2025,关于我的2025年,About my 2025.
今天的太阳怎么看起来好像没有那么猛烈，是因为现在才八点吗,为什么今天太阳看起来不那么强烈?,Why does the sun look less intense today? Is it 8 o'clock?
监考了7个小时 结论：当一个自由的牛马也不错,"7小时的缓刑, 和结论: 做一头自由的母牛是好的。","Seven hours of probation, and conclusion: being a free cow is good."
最近日常 出差复健收谷子,我一直在做日常公事,I've been on a day-to-day business.
画了张冈田将生的速写。 据说是这张照片是他太太拍的。,"据称,这张照片是他的妻子照的。",This photo was allegedly taken by his wife.
只要我想 谁都可以是 谁也都可以不是,任何人都可以成为我想要的任何人,"Anyone I want, anyone can be."
试图改变我妈的思想 给我整乐了 我爸说他能明白我在说啥 但是不想和我说,我爸说他能理解我在说什么 但他不想和我说话,"My dad says he can understand what I'm talking about, but he doesn't want to talk to me."
宋银硕 审核,"宋振石,审计","Song Jin-seok, audit"
每当觉得干不下去时候 工作就会抛出一些小事来让人觉得它也没有那么不堪 人啊！！！,每次你觉得自己做不来时 都会做点小事 让人们觉得自己没那么糟,"Every time you feel like you can't do it, you throw a little bit of work to make people feel like it's not that bad."
我想长高,我想长高。,I want to grow tall.
想买个亮晶晶的涂嘴巴的,我想买一个漂亮的 闪亮的嘴唇画,"I'd like to buy a nice, shiny mouth-painted one."
oh baby girl 别叫我达芬奇,"宝贝,别叫我达芬奇","Oh, baby girl, don't call me da Vinci."
想买点啥但又不知道买点啥,"你想买东西,但你不知道该买什么","You want to buy something, but you don't know what to buy."
耶欸 清清库存,"是啊,清清库存清单。","Yeah, clear the inventory."
大理大理大学(下关校区),主要科学大学(低校区),University of Major Sciences (lower campus)
即将把追星板块从我的微博浓度降低，努力从别的地方获得情绪。,我即将降低右舷 从我的微博客集中 并试图得到情绪 从别的地方。,I'm about to lower the starboard from my microblogging concentration and try to get emotions from somewhere else.
好恍惚的last day,今天太逊了,It's so lame today.
下雪了 还挺大,"下雪了,相当大",It's snowing. It's pretty big.
最近打开dy都会刷到芦田爱菜各种不同的gyugyugyu(),"最近,Dy向gyyuguyu敞开了大门。","Recently, dy opened up to gyugyugyu."
偶尔兼职旅游博主,偶尔兼职旅行者。,Occasional part-time traveler.
p图喜欢的是不是 喜欢就去追行吗,"如果你喜欢,就去追吧","If you like it, go after it."
非常嫌疑犯,非常可疑。,Very suspect.
减肥日记Day 988 起床体重：？？？ 睡前体重：？？？  工作日的日常 三餐羽球儿,"第988日,起身称体重,","Day 988, get up and weigh:"
这怎么说呢,你怎么能这么说?,How can you say that?
不敢发在抖音 我妈能看到,"我摇不动,我妈看得见",I can't shake it. My mom can see it.
收官了，周末可以开始捡垃圾了（,我们出局了 我们可以周末开始捡垃圾,We're out. We can start picking up garbage on weekends.
今年自己放,让我们今年来做吧。,Let's do it this year.
第不知道十几天 六点多自然醒,我不知道第11天的事 但我会在6点醒来,"I don't know about the 11th day, but I'll wake up at 6:00."
昨晚那么大的雪，今早就消失了 现在就逃往冬天去看雪吧的微博视频,昨晚下雪了 今早不见了,"It was snowy last night, and it disappeared this morning."
今日穿搭,穿上今天的服装,Wear it today.
一单食，一瓢饮，在陋巷，人不堪其忧，回也不改其乐。孔门圣人的操守，凡夫俗子几人能及？ 我是凡夫俗子,"一顿饭,一杯酒,在巷子里 人们不担心,他们不能改变他们的喜悦","A single meal, a drink, in an alley where people can't worry, and they can't change their joy."
刚到珠海就发现身边全是来看演唱会的小女生,我第一次去珠海的时候 发现有很多女孩来参加音乐会,"When I first got to Joo Hae, I found out that there were a lot of girls who came to the concert."
人的脑子真的能记住那么多东西吗？,一个人的大脑真的能记住这么多吗?,Can a man's brain really remember so much?
其实我是从波斯国远道而来,"事实上,我从波斯远道而来","Actually, I've come a long way from Persia."
该来的还是来了 尽力就好,"是时候来了,还是该来了",It's time to come or it's time to come.
到了株洲，和廖雄杰的朋友见面，然后 （这是一篇草稿 一直忘记发了 大概是12月的事）,"在昌州,我们认识了柳洪二的朋友 然后...","In Changzhou, we met with a friend of Yoo Hungji's, and then..."
两块一毛六 8,两块钱六分八分,"Two dollars and six cents, eight."
这对吗，都说不想抢了结果进去就付款了 关键是右手挂水还是用左手抢的,没错 我说如果我不想接受结果 我会付钱的,"That's right, I said I'd pay if I didn't want to take the results."
1155的我困得我睁不开眼，1202的我精神百倍，困劲儿真是让人难以捉摸,"我无法睁开眼睛,我无法睁开眼睛, 我无法感受到1202年的精神。","I can't open my eyes, I can't keep my eyes open, I can't feel my spirit in 1202."
哦？女木偶精的哥哥假扮别人回家，好剧情,皮诺曹的哥哥假装是别人的家,"Oh, well, the Pinocchio's brother pretended to be someone else's home."
我现在听到这歌就想到无忧渡,现在我听到这首歌 我觉得没关系,Now I hear this song and I think it's okay.
南京工业大学 象山水榭cbd 南京南京工业大学,南京工业大学。,Nanjing Industrial University.
外婆的减脂早餐,外婆的饮食早餐,Grandma's diet breakfast.
冬有冬的来意 雪有雪的秘密,冬天有它的意义 雪有它的秘密,Winter has its meaning. Snow has its secrets.
是14个小时 扁平足有福了,14小时了 平足快乐,It's 14 hours. Happy flat feet.
昨天还在考古 切拜,"昨天,这是一个考古学。","Yesterday, it was an archaeology."
周末过得真快啊,这是一个快速的周末。,It's been a fast weekend.
直到我经历过,直到我经历了它。,Until I went through it.
听洋屁day,今天听放屁,Listening to farts today
珠海打卡版,中海纸板,Chuhai cardboard.
哎哟这什么电影？,这是什么电影?,What movie is this?
太原太原植物园,植物园塔伊巴拉花园,Taibara Garden of Botanical Garden
